Year-Month,Stn_Name,Lat,Long,Prov,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,Clim_ID,H1,Environment and Climate Change Canada
2016-01,LYNDHURST SHAWMERE,44.517,-76.083,ON,-1.5,26,6.9,9.5,26,-14,26,2.6,26,NA,7,26,NA,8,3,,,NA,97.5,0,6104725,,
2016-01,MARKDALE,44.269,-80.712,ON,-6.2,6,NA,8.5,6,-23.5,6,111.3,6,NA,150.9,6,NA,18,18,,,NA,605.9,0,6114979,,
2016-01,MASSEY,46.193,-82.025,ON,-9,1,2.1,4,1,-33.5,1,53.8,1,NA,61.4,1,NA,37,14,,,NA,809.7,0,6065006,,
2016-01,MIDLAND WATER POLLUTION CONTROL PLANT,44.758,-79.875,ON,-6.6,18,1.9,5,18,-20,18,27,18,NA,34.3,18,NA,,8,,,NA,319.9,0,6115127,,
2016-01,MINE CENTRE SOUTHWEST,48.76,-92.623,ON,-12.3,2,NA,3,1,-33,1,23.6,1,NA,23.6,1,NA,34,8,,,NA,878.3,0,6025205,,
2016-01,MONETVILLE 2,46.215,-80.303,ON,-10.3,12,NA,4,12,-29,12,24.3,12,NA,40.3,12,NA,,8,,,NA,537.6,0,6065252,,
2016-01,MONO CENTRE,44.032,-80.024,ON,-6.3,0,NA,8.1,0,-20.5,0,,,NA,41.4,0,NA,5,12,,,NA,753.5,0,6157000,,
2016-01,MOOSE CREEK WELLS,45.251,-74.963,ON,-8.7,0,NA,7.6,0,-29.5,0,,,NA,,,NA,7,,,,NA,828.1,0,6105397,,
2016-01,MOOSONEE,51.291,-80.608,ON,-12.6,9,NA,1.4,9,-31.8,8,,,NA,,,NA,,,,,NA,672.5,0,6075420,,
2016-01,MOOSONEE RCS,51.292,-80.618,ON,-15.4,0,NA,1.4,0,-35,0,,,NA,73.7,0,NA,47,22,,,NA,1036.7,0,6075435,,
2016-01,MOOSONEE UA,51.267,-80.65,ON,-15.1,2,4.9,1.5,2,-35.5,2,82.7,2,NA,54.1,2,NA,33,11,,,NA,959.7,0,6075425,,
2016-01,MOUNT FOREST (AUT),43.983,-80.75,ON,-5.8,1,NA,7.3,1,-19.4,0,,,NA,85,7,NA,17,19,,,NA,715.3,0,6145504,,
2016-01,MOUNTAINVIEW,44.052,-77.302,ON,-4.1,0,1.9,10,0,-19,0,51.6,0,121,94.6,0,118,7,12,,,NA,685.2,0,615EMR7,,
2016-01,MUSKOKA,44.975,-79.303,ON,-8.1,1,NA,6.2,1,-28.3,1,,,NA,62.1,1,NA,,7,,,NA,784.2,0,6115529,,
2016-01,MUSKRAT DAM,53.441,-91.763,ON,-19,2,NA,-6.7,2,-32.7,2,,,NA,0.3,2,NA,,0,,,NA,1071.6,0,6015026,,
2016-01,NAGAGAMI (AUT),49.747,-84.164,ON,-14.4,0,NA,1.2,0,-35.9,0,,,NA,39.4,0,NA,50,11,,,NA,1004.4,0,6075543,,
2016-01,NEW GLASGOW,42.514,-81.636,ON,-2.6,3,1.7,10,3,-15,3,15,3,NA,49,3,NA,0,10,,,NA,577,0,6135583,,
2016-01,NIPISSING,46.1,-79.521,ON,,,NA,,,,,30,13,NA,38.4,10,NA,,7,,,NA,,,6115669,,
2016-01,NORTH BAY A,46.364,-79.424,ON,-10.5,1,NA,3.3,1,-27.8,1,,,NA,54.1,1,NA,,10,,,NA,854.9,0,6085680,,
2016-01,OAKVILLE TWN,43.513,-79.69,ON,-2.9,0,NA,11,0,-16,0,11.1,0,NA,41.9,0,NA,0,9,,,NA,648.7,0,6155750,,
2016-01,OMPAH-SEITZ,45.054,-76.784,ON,-7.7,0,NA,6.5,0,-23,0,45.5,0,NA,88.5,0,NA,26,16,,,NA,795.8,0,6105762,,
2016-01,ORILLIA BRAIN,44.603,-79.439,ON,-6.9,10,NA,7,10,-20.5,10,56,10,NA,89.4,10,NA,0,13,,,NA,523.6,0,6115811,,
2016-01,OSHAWA,43.923,-78.883,ON,-4.4,2,NA,8.9,2,-17.9,2,,,NA,43.6,2,NA,,6,,,NA,648.6,0,6155875,,
2016-01,OSHAWA WPCP,43.867,-78.833,ON,-2.1,0,2.6,15,0,-16,0,14.5,0,41,71.7,0,109,0,10,,,NA,624.1,0,6155878,,
2016-01,OTTAWA CDA,45.383,-75.717,ON,-7.5,0,2.7,7.6,0,-22.9,0,30.8,0,70,52.2,0,83,11,13,,,NA,790.4,0,6105976,,
2016-01,OTTAWA CDA RCS,45.383,-75.717,ON,-7.3,2,NA,6.1,2,-19.9,1,,,NA,50.8,2,NA,21,13,,,NA,732.3,0,6105978,,
2016-01,OTTAWA INTL A,45.317,-75.667,ON,-8,0,NA,6.4,0,-25.2,0,44.7,0,NA,43.8,0,NA,12,12,,,NA,804.8,0,6106001,,
2016-01,PARRY SOUND CCG,45.344,-80.044,ON,-6.2,3,NA,6.1,3,-22.1,0,,,NA,89.6,7,NA,18,14,,,NA,677.5,0,6116257,,
2016-01,PEAWANUCK (AUT),54.983,-85.433,ON,-19.8,15,NA,-2.6,15,-38.2,14,,,NA,16.6,15,NA,31,4,,,NA,605.1,0,6016295,,
2016-01,PEMBROKE CLIMATE,45.86,-77.252,ON,-9.4,1,NA,5.6,1,-28.4,0,,,NA,43,1,NA,23,11,,,NA,821.2,0,6106367,,
2016-01,PETAWAWA AWOS 2,45.95,-77.317,ON,-9.1,1,NA,5.9,0,-28.6,1,,,NA,50.5,1,NA,,12,,,NA,811.7,0,6106396,,
2016-01,PETAWAWA HOFFMAN,45.883,-77.25,ON,-8.3,0,NA,5,0,-26.5,0,37.2,0,NA,60.2,0,NA,27,14,,,NA,815.6,0,610FC98,,
2016-01,PETERBOROUGH,44.23,-78.363,ON,-6.8,1,NA,9.2,1,-22.9,1,,,NA,13,2,NA,,4,,,NA,743.8,0,6166415,,
2016-01,PETERBOROUGH TRENT U,44.35,-78.3,ON,-6.8,25,NA,3.4,24,-23.2,19,,,NA,3,25,NA,17,1,,,NA,148.5,0,6166456,,
2016-01,PICKLE LAKE (AUT),51.449,-90.218,ON,-15.6,2,NA,0.5,2,-29.2,0,,,NA,28.2,2,NA,36,7,,,NA,973.9,0,6016525,,
2016-01,PICKLE LAKE A,51.446,-90.214,ON,-15.8,0,NA,1,0,-29.5,0,,,NA,,,NA,39,,,,NA,1048,0,6016529,,
2016-01,POINT PELEE CS,41.949,-82.519,ON,-2.3,1,NA,8.5,1,-14.9,0,,,NA,,,NA,,,,,NA,608,0,613P001,,
2016-01,POINT PETRE (AUT),43.833,-77.15,ON,-3,0,NA,6.8,0,-17.1,0,,,NA,79.5,0,NA,0,21,,,NA,650,0,6156559,,
2016-01,PORT COLBORNE,42.883,-79.25,ON,-1,9,2.6,11,9,-12,9,16.8,9,NA,32.8,9,NA,0,8,,,NA,419,0,6136606,,
2016-01,PORT COLBORNE (AUT),42.867,-79.25,ON,-2.1,2,NA,9.9,2,-11.9,0,,,NA,,,NA,,,,,NA,583.8,0,613F606,,
2016-01,PORT WELLER (AUT),43.25,-79.217,ON,-1.5,2,NA,12.7,2,-11.1,0,,,NA,23.4,2,NA,,3,,,NA,564.1,0,6136699,,
2016-01,PUKASKWA (AUT),48.608,-86.287,ON,-10.1,0,NA,2.8,0,-29.8,0,,,NA,62.2,0,NA,24,11,,,NA,870.5,0,6046768,,
2016-01,RAINHAM CENTURY FARM,42.85,-79.767,ON,-3,2,NA,8.5,2,-15.5,2,5,2,NA,35.4,2,NA,0,6,,,NA,608,0,6137135,,
2016-01,RAVENSCLIFFE,45.354,-79.27,ON,-8.7,0,NA,5.5,0,-27,0,99,0,NA,141.4,0,NA,40,17,,,NA,826.4,0,6116901,,
2016-01,RAWSON LAKE (AUT),49.664,-93.733,ON,-14.6,7,NA,0.8,7,-32.6,6,,,NA,16.4,7,NA,31,4,,,NA,782,0,6036907,,
2016-01,RED LAKE A,51.067,-93.793,ON,-14.6,0,NA,5.6,0,-33.1,0,,,NA,,,NA,44,,,,NA,1011.5,0,6016970,,
2016-01,RIDGETOWN RCS,42.45,-81.883,ON,-3.6,3,NA,11.2,3,-16.4,0,,,NA,30.4,3,NA,1,6,,,NA,605,0,6137154,,
2016-01,ROSEVILLE,43.354,-80.474,ON,-5.1,0,1.4,8.5,0,-19,0,37,0,95,63.4,0,93,2,12,,,NA,715.5,0,6147188,,
2016-01,ROYAL ISLAND (AUT),49.469,-94.763,ON,-14.8,7,NA,2.4,7,-31,6,,,NA,,,NA,,,,,NA,786,0,6037201,,
2016-01,SANDFIELD,45.69,-81.982,ON,-6.4,0,NA,5,0,-26,0,73,0,NA,93.6,0,NA,34,19,,,NA,757.9,0,6097426,,
2016-01,SANDY LAKE A,53.064,-93.344,ON,-16.8,0,NA,-2,0,-31.1,0,,,NA,0,0,NA,,0,,,NA,1077.9,0,6017401,,
2016-01,SARNIA,42.999,-82.309,ON,-3,0,NA,9.9,0,-15.6,0,,,NA,35.2,0,NA,,7,,,NA,651,0,6127510,,
2016-01,SARNIA CLIMATE,43,-82.3,ON,-3,2,NA,9.9,2,-16.1,0,,,NA,34.1,2,NA,3,10,,,NA,610,0,6127519,,
2016-01,SAULT STE MARIE A,46.485,-84.51,ON,-7.6,0,NA,3.8,0,-25.1,0,80.6,0,NA,58.2,0,NA,18,14,,,NA,794.2,0,6057591,,
2016-01,SHANTY BAY,44.399,-79.633,ON,-5.7,0,2.1,7.5,0,-23.5,0,86.5,0,125,116.1,0,131,22,17,,,NA,733.4,0,6117684,,
2016-01,SIOUX LOOKOUT A,50.114,-91.908,ON,-14.4,0,NA,1,0,-33.1,0,36.1,0,NA,26.1,1,NA,31,5,,,NA,1005.5,0,6037776,,
2016-01,SONYA SUNDANCE MEADOWS,44.217,-78.95,ON,,,NA,,,,,31.8,0,NA,67.4,0,NA,7,11,,,NA,,,6168100,,
2016-01,SPRUCEDALE,45.425,-79.488,ON,,,NA,,,,,79.1,0,NA,189.4,0,NA,43,16,,,NA,,,6117981,,
2016-01,ST CATHARINES BROCK U,43.118,-79.248,ON,,,NA,,,,,21,1,NA,34.7,1,NA,0,11,,,NA,,,6137290,,
2016-01,ST THOMAS WPCP,42.768,-81.205,ON,-3.9,6,0.8,10.5,3,-18.5,3,21,3,NA,49.8,3,NA,0,9,,,NA,547.7,0,6137362,,
2016-01,ST. ALBERT,45.287,-75.064,ON,-9.3,0,0.9,7,0,-30,0,40,0,78,59.8,0,71,0,16,,,NA,845.8,0,6107276,,
2016-01,STRATFORD WWTP,43.369,-81.005,ON,-6.8,13,-0.7,5.5,13,-19,13,50,13,NA,68,13,NA,,10,,,NA,445.8,0,6148105,,
2016-01,STRATHROY-MULLIFARRY,42.981,-81.643,ON,-4.3,0,NA,10,0,-20.5,0,34,0,NA,63.6,0,NA,3,14,,,NA,690.2,0,6148122,,
2016-01,SUDBURY A,46.626,-80.798,ON,-10.5,0,NA,2,0,-26.9,0,91.2,0,NA,91.5,1,NA,38,13,,,NA,884.6,0,6068153,,
2016-01,SUDBURY CLIMATE,46.632,-80.796,ON,-10.6,0,NA,2,0,-26.7,0,,,NA,74.2,0,NA,41,15,,,NA,887.1,0,6068145,,
2016-01,TAPLEY,44.171,-78.501,ON,,,NA,,,,,42,0,NA,90.4,0,NA,12,14,,,NA,,,6168525,,
2016-01,THORNBURY 3,44.551,-80.468,ON,,,NA,,,,,101.5,0,NA,134.8,0,NA,13,21,,,NA,,,6118240,,
2016-01,THUNDER BAY,48.372,-89.322,ON,-11,2,NA,2.9,2,-29,2,,,NA,4.9,2,NA,,1,,,NA,841.5,0,6048260,,
2016-01,THUNDER BAY A FIREHALL,48.367,-89.317,ON,,,NA,,,,,19.6,19,NA,16,19,NA,20,3,,,NA,,,604S003,,
2016-01,THUNDER BAY BURWOOD,48.414,-89.278,ON,-11.9,11,NA,1,11,-28,11,33.3,11,NA,28.9,11,NA,,5,,,NA,597.2,0,6048266,,
2016-01,THUNDER BAY CS,48.369,-89.327,ON,-10.6,0,NA,4.5,0,-29.4,0,,,NA,35.2,0,NA,20,7,,,NA,885.7,0,6048268,,
2016-01,TILLSONBURG NORTH,42.861,-80.741,ON,-3.4,0,NA,10.5,0,-17,0,34.7,0,NA,70.6,0,NA,2,12,,,NA,663.6,0,6138269,,
2016-01,TILLSONBURG WWTP,42.855,-80.722,ON,,,NA,,,,,21,1,NA,55.2,1,NA,0,11,,,NA,,,6138270,,
2016-01,TIMMINS A,48.571,-81.377,ON,-13.2,0,NA,1.5,0,-31.1,0,,,NA,,,NA,,,,,NA,965.9,0,6078286,,
2016-01,TIMMINS CLIMATE,48.557,-81.39,ON,-12.8,1,NA,1.4,1,-31.3,0,,,NA,55.5,1,NA,31,15,,,NA,924.1,0,6078282,,
2016-01,TOBERMORY RCS,45.233,-81.633,ON,-4.7,1,NA,4.7,1,-16.2,0,,,NA,67.5,1,NA,9,15,,,NA,681.4,0,6128330,,
2016-01,TORONTO,43.667,-79.4,ON,,,,,,,,8.8,1,NA,34.7,1,NA,0,7,,,NA,,,6158350,,
2016-01,TORONTO BUTTONVILLE A,43.861,-79.369,ON,-4.2,0,NA,10.2,0,-16.3,0,21.5,0,NA,55.5,1,NA,,10,,,NA,687.7,0,6158410,,
2016-01,TORONTO CITY,43.667,-79.4,ON,-2.3,2,NA,9.9,2,-14.2,0,,,NA,44.8,7,NA,,9,,,NA,587.6,0,6158355,,
2016-01,TORONTO CITY CENTRE,43.628,-79.396,ON,-2.4,1,NA,8.8,1,-13.8,1,,,NA,13.4,1,NA,,4,,,NA,610.5,0,6158359,,
2016-01,TORONTO INTL A,43.677,-79.631,ON,-3.6,0,NA,10.6,0,-15.4,0,10.6,0,NA,38.4,0,NA,,8,,,NA,670.4,0,6158731,,
2016-01,TORONTO NORTH YORK,43.78,-79.468,ON,-3.2,0,NA,10.5,0,-16.5,0,20.2,0,NA,44,0,NA,0,7,,,NA,656.2,0,615S001,,
2016-01,TRENTON A,44.117,-77.533,ON,-4.8,0,2,9.5,0,-18.5,0,35.2,0,79,66.7,0,98,1,12,,,NA,707.7,0,6158875,,
2016-01,UDORA,44.263,-79.161,ON,-5.3,0,1.7,9,0,-22,0,64,0,163,91.8,0,141,2,14,,,NA,722.3,0,6119055,,
2016-01,UPSALA (AUT),49.033,-90.467,ON,-13.8,0,NA,0.7,0,-33.5,0,,,NA,21.8,0,NA,42,6,,,NA,984.9,0,6049095,,
2016-01,UXBRIDGE WEST,44.098,-79.164,ON,-6.1,0,NA,9.2,0,-22.3,0,,,NA,51.9,0,NA,0,9,,,NA,746.8,0,6159123,,
2016-01,VINELAND STATION RCS,43.183,-79.4,ON,-2.3,3,NA,13.1,3,-13.9,0,,,NA,25.9,3,NA,,6,,,NA,568.9,0,6139148,,
2016-01,WATERLOO WELLINGTON 2,43.45,-80.383,ON,,,NA,,,,,38.4,0,NA,60.1,0,NA,4,15,,,NA,,,6149389,,
2016-01,WAWA A,47.967,-84.786,ON,-10.5,0,NA,2.3,0,-29.9,0,,,NA,,,NA,30,,,,NA,882.3,0,6059407,,
2016-01,WELCOME ISLAND (AUT),48.369,-89.119,ON,-9,1,NA,4.2,1,-23.3,0,,,NA,,,NA,,,,,NA,809.6,0,6049443,,
2016-01,WELLAND-PELHAM,42.967,-79.333,ON,-3.2,0,NA,12.8,0,-16.2,0,,,NA,41.9,0,NA,1,10,,,NA,657.2,0,6139449,,
2016-01,WESTERN ISLAND (AUT),45.033,-80.367,ON,-3.5,1,NA,6.3,1,-16.1,0,,,NA,,,NA,,,,,NA,643.6,0,6119M51,,
2016-01,WIARTON A,44.744,-81.109,ON,-4.8,0,NA,6.9,0,-21.9,0,110.3,0,NA,122.6,0,NA,20,19,,,NA,708,0,6119499,,
2016-01,WINDSOR A,42.276,-82.955,ON,-2.9,1,NA,10.4,1,-13.2,0,19.7,1,NA,47.7,2,NA,,8,,,NA,627.9,0,6139527,,
2016-01,WINDSOR RIVERSIDE,42.333,-82.933,ON,-2,0,NA,11.5,0,-12.5,0,20.8,0,NA,50.4,0,NA,0,9,,,NA,618.5,0,6139520,,
2016-01,WOODSTOCK,43.136,-80.771,ON,-4.7,18,1,5.5,18,-17,18,4,18,NA,25,18,NA,,4,,,NA,295.7,0,6149625,,
2016-01,WROXETER,43.863,-81.152,ON,,,NA,,,,,80.2,0,NA,120,0,NA,17,16,,,NA,,,6129660,,
2016-02,ALGONQUIN PARK EAST GATE,45.533,-78.267,ON,-11.1,0,NA,6.2,0,-42.2,0,,,NA,97.2,0,NA,54,17,,,NA,843.8,0,6080192,,
2016-02,AMHERSTBURG,42.103,-83.094,ON,0.6,17,2.4,17.5,16,-18,17,14,16,NA,50,16,NA,0,4,,,NA,209.2,0,6130257,,
2016-02,APPLETON,45.186,-76.113,ON,-7.3,1,NA,8.5,1,-31,1,51.8,1,NA,80.6,1,NA,25,11,,,NA,707.5,0,6100285,,
2016-02,ARMSTRONG (AUT),50.294,-88.905,ON,-16.5,2,NA,1.1,2,-36.9,1,,,NA,16.3,2,NA,39,3,,,NA,930.8,0,6040325,,
2016-02,ATIKOKAN (AUT),48.761,-91.628,ON,-12.4,0,NA,5.4,0,-34.7,0,,,NA,64.3,1,NA,33,11,,,NA,880.4,0,6020LPQ,,
2016-02,ATTAWAPISKAT A,52.928,-82.432,ON,-21.1,0,NA,-2.1,0,-37.4,0,,,NA,0.3,0,NA,,0,,,NA,1132.5,0,6010400,,
2016-02,BALACLAVA,44.67,-80.777,ON,,,NA,,,,,104.6,2,NA,104.6,2,NA,21,11,,,NA,,,6110470,,
2016-02,BALDWIN,44.267,-79.319,ON,-5.1,5,NA,15,5,-30,5,20.8,5,NA,20.8,5,NA,,7,,,NA,554.4,0,6110480,,
2016-02,BANCROFT AUTO,45.071,-77.879,ON,-8.7,0,NA,7.5,0,-38.9,0,,,NA,88,0,NA,29,11,,,NA,773.9,0,616I001,,
2016-02,BARRIE LANDFILL,44.385,-79.736,ON,-4.7,9,NA,13.5,5,-30,5,27.4,5,NA,36.8,5,NA,0,13,,,NA,454.4,0,6110556,,
2016-02,BARRIE-ORO,44.483,-79.55,ON,-5.9,0,NA,12.6,0,-33.3,0,,,NA,54.2,0,NA,8,13,,,NA,693.9,0,6117700,,
2016-02,BARWICK,48.633,-93.967,ON,-10.3,0,1.3,7,0,-35,0,20,0,109,23.7,0,111,27,7,,,NA,820.9,0,6020559,,
2016-02,BEATRICE CLIMATE,45.14,-79.403,ON,-8.5,0,NA,8,0,-41,0,,,NA,104.6,0,NA,37,17,,,NA,767.7,0,6110607,,
2016-02,BELLEVILLE,44.151,-77.395,ON,-4.6,1,0.5,10,1,-28,1,38.2,1,NA,101,1,NA,0,9,,,NA,633.6,0,6150689,,
2016-02,BIG TROUT LAKE,53.816,-89.892,ON,-21.1,0,NA,-0.3,0,-39.7,0,,,NA,6.8,0,NA,44,1,,,NA,1134.5,0,6010740,,
2016-02,BIG TROUT LAKE A,53.818,-89.897,ON,-20.6,5,NA,-0.4,5,-38.9,5,,,NA,0.3,5,NA,,0,,,NA,926.3,0,6010735,,
2016-02,BLACKSTOCK,44.1,-78.833,ON,-4.7,0,NA,13,0,-31,0,24.2,0,NA,59.6,0,NA,0,10,,,NA,658.1,0,6150790,,
2016-02,BONNER LAKE,49.383,-82.124,ON,-16,0,NA,2,0,-38.5,0,69.7,0,NA,50.6,0,NA,63,14,,,NA,986.5,0,6070QK6,,
2016-02,BORDEN AWOS,44.272,-79.912,ON,-5.6,0,NA,14.6,0,-39.4,0,,,NA,51.5,1,NA,,15,,,NA,685.3,0,611B002,,
2016-02,BRANTFORD AIRPORT,43.138,-80.331,ON,-5,16,NA,13.9,15,-23.7,14,,,NA,15.3,16,NA,,2,,,NA,298.7,0,6140942,,
2016-02,BROCKVILLE CLIMATE,44.635,-75.748,ON,-7.2,0,NA,10.7,0,-30.5,0,,,NA,135.7,0,NA,13,12,,,NA,731,0,6100970,,
2016-02,BROCKVILLE PCC,44.6,-75.667,ON,-5.7,0,0.3,10,0,-30,0,54.2,0,139,116.5,0,182,0,15,,,NA,688.4,0,6100971,,
2016-02,BURLINGTON PIERS (AUT),43.3,-79.8,ON,-0.8,0,NA,15.9,0,-21.5,0,,,NA,,,NA,,,,,NA,544.3,0,6151061,,
2016-02,CAMERON FALLS (AUT),49.154,-88.345,ON,-12.2,0,NA,3.6,0,-29.4,0,,,NA,24.4,0,NA,12,7,,,NA,876.4,0,6041110,,
2016-02,CARIBOU ISLAND (AUT),47.333,-85.833,ON,-4.6,1,NA,2.9,1,-19.2,1,,,NA,,,NA,,,,,NA,632.9,0,6041222,,
2016-02,CENTREVILLE,44.403,-76.908,ON,-5.1,1,1.8,21.5,1,-30.5,1,52.8,1,NA,117.8,1,NA,12,14,,,NA,645.9,0,6151309,,
2016-02,CHALK RIVER AECL,46.05,-77.367,ON,-8.7,8,0.5,4.5,8,-27,8,62.4,8,NA,65.4,8,NA,60,9,,,NA,561.5,0,6101335,,
2016-02,CHAPLEAU A,47.82,-83.347,ON,-13.1,0,NA,2.3,0,-38.4,0,,,NA,,,NA,62,,,,NA,902.8,0,6061362,,
2016-02,CHATHAM WPCP,42.39,-82.215,ON,2.7,22,5.1,14,22,-9,22,3,22,NA,11.1,22,NA,0,2,,,NA,106.8,0,6131415,,
2016-02,COBOURG (AUT),43.95,-78.167,ON,-3.3,0,NA,9.1,0,-26.4,0,,,NA,75.2,0,NA,1,9,,,NA,617.3,0,6151684,,
2016-02,COBOURG STP,43.967,-78.183,ON,-0.8,14,3.5,10,14,-16,14,6,14,NA,52.6,14,NA,0,6,,,NA,281.9,0,6151689,,
2016-02,COE HILL,44.923,-77.885,ON,-7,4,NA,23.5,4,-37,4,49,4,NA,76,4,NA,37,13,,,NA,626.1,0,6161740,,
2016-02,COLDWATER WARMINSTER,44.631,-79.539,ON,1.8,28,NA,3.5,28,0,28,0.4,28,NA,0.4,28,NA,,0,,,NA,16.2,0,6111769,,
2016-02,COLLINGWOOD,44.5,-80.217,ON,-3.5,0,NA,13,0,-27.3,0,,,NA,69.9,0,NA,,10,,,NA,623.5,0,6111792,,
2016-02,CORNWALL,45.016,-74.749,ON,-6.7,4,-0.2,11,4,-28,4,34,4,NA,110.9,4,NA,,14,,,NA,617.5,0,6101874,,
2016-02,COVE ISLAND (AUT),45.333,-81.733,ON,-4.6,2,NA,5.8,1,-24.9,2,,,NA,,,NA,,,,,NA,611,0,61219J2,,
2016-02,DELHI CS,42.867,-80.55,ON,-2.6,0,NA,14.8,0,-25.1,0,,,NA,76.8,0,NA,0,10,,,NA,596,0,6131983,,
2016-02,DORCHESTER,43.002,-81.033,ON,,,NA,,,,,44.2,0,NA,85.4,0,NA,0,17,,,NA,,,6142066,,
2016-02,DRUMMOND CENTRE,45.032,-76.253,ON,-7.4,0,1.1,8.5,0,-30.5,0,56.8,0,160,92.4,0,180,29,13,,,NA,736.7,0,6102J13,,
2016-02,DRYDEN REGIONAL,49.828,-92.744,ON,-13.2,2,NA,1.5,2,-31.6,2,,,NA,8.8,2,NA,,3,,,NA,841.3,0,6032125,,
2016-02,EAR FALLS (AUT),50.631,-93.221,ON,-13.5,0,NA,2.6,0,-32.7,0,,,NA,18.2,0,NA,45,2,,,NA,913.1,0,6012199,,
2016-02,EARLTON A,47.695,-79.849,ON,-14.5,1,NA,2.7,1,-40.9,1,,,NA,,,NA,,,,,NA,909.7,0,6072223,,
2016-02,EARLTON CLIMATE,47.695,-79.849,ON,-14.6,0,NA,2.8,0,-40.8,0,,,NA,34.2,0,NA,38,9,,,NA,945.1,0,6072230,,
2016-02,EGBERT CS,44.233,-79.783,ON,-4.7,0,NA,14.1,0,-32.1,0,,,NA,61.7,0,NA,4,15,,,NA,658.5,0,6.11E+03,,
2016-02,ELORA RCS,43.65,-80.417,ON,-4.3,0,NA,13.2,0,-26.7,0,,,NA,50.1,0,NA,1,14,,,NA,646.1,0,6142286,,
2016-02,ERIEAU (AUT),42.25,-81.9,ON,-1.3,0,NA,14.5,0,-16.3,0,,,NA,,,NA,,,,,NA,560.7,0,613KLLM,,
2016-02,FERGUS MOE,43.702,-80.379,ON,-4.5,0,NA,12.5,0,-27,0,13.4,0,NA,35.6,0,NA,1,9,,,NA,651.3,0,6142402,,
2016-02,FERGUS SHAND DAM,43.735,-80.33,ON,-4,0,2.3,12.5,0,-28.5,0,23.1,0,76,54.9,0,98,0,13,,,NA,639.3,0,6142400,,
2016-02,FOLDENS,43.018,-80.781,ON,-2.6,0,2,13.5,0,-24.5,0,24,0,101,65.3,0,116,0,12,,,NA,596.7,0,6142420,,
2016-02,FORT ERIE,42.883,-78.967,ON,0.2,7,3.4,12.5,7,-20,7,14,7,NA,59.9,7,NA,0,7,,,NA,392.7,0,6132470,,
2016-02,FORT FRANCES RCS,48.651,-93.439,ON,-11.3,0,NA,7.1,0,-34.8,0,,,NA,20.1,0,NA,9,5,,,NA,848.9,0,6022474,,
2016-02,FORT SEVERN A,56.019,-87.676,ON,-25.4,13,NA,-1.8,13,-39.5,12,,,NA,10.2,19,NA,,1,,,NA,693.6,0,6012501,,
2016-02,GEORGETOWN WWTP,43.64,-79.879,ON,-2.9,11,2.3,6.5,11,-19.5,11,6,11,NA,35.8,11,NA,0,4,,,NA,375.5,0,6152695,,
2016-02,GERALDTON A,49.779,-86.939,ON,-15.5,0,NA,2.7,0,-35.7,0,27.9,0,NA,22,0,NA,43,7,,,NA,972,0,6042717,,
2016-02,GODERICH,43.767,-81.717,ON,-2.3,0,NA,11.8,0,-18.9,0,,,NA,64.2,0,NA,,11,,,NA,588.8,0,6122847,,
2016-02,GORE BAY CLIMATE,45.883,-82.567,ON,-7.1,0,NA,4.8,0,-28.5,0,,,NA,43.3,0,NA,31,11,,,NA,729.2,0,6092920,,
2016-02,GREAT DUCK ISLAND (AUT),45.633,-82.95,ON,-4.7,1,NA,5.8,1,-25.4,1,,,NA,,,NA,,,,,NA,635.1,0,6093005,,
2016-02,GRIMSBY MOUNTAIN,43.184,-79.558,ON,-1,0,NA,14.8,0,-20.4,0,22.2,0,NA,89.3,0,NA,0,11,,,NA,550.6,0,6133055,,
2016-02,GUELPH TURFGRASS,43.55,-80.217,ON,-3.8,0,NA,14.1,0,-27.1,0,,,NA,,,NA,,,,,NA,632.4,0,6143089,,
2016-02,HALIBURTON 3,45.032,-78.531,ON,-7.8,0,1.3,9.5,0,-40.5,0,50.1,0,95,74.2,0,100,21,16,,,NA,748.8,0,6163171,,
2016-02,HAMILTON A,43.174,-79.935,ON,-2.6,0,NA,14.9,0,-24.3,0,24.8,1,NA,104.4,1,NA,,13,,,NA,598.7,0,6153193,,
2016-02,HAMILTON RBG CS,43.292,-79.908,ON,-1.2,0,NA,16.6,0,-23.6,0,,,NA,81.5,0,NA,,10,,,NA,557.4,0,6153301,,
2016-02,HARROW CDA AUTO,42.033,-82.9,ON,-1.1,0,NA,16.2,0,-18.9,0,,,NA,53.3,0,NA,0,5,,,NA,555.2,0,6133362,,
2016-02,HARTINGTON IHD,44.428,-76.69,ON,-5.4,0,0.9,9,0,-31,0,58,0,181,120.8,0,192,16,15,,,NA,680,0,6103367,,
2016-02,HAZELWOOD,48.467,-89.267,ON,,,NA,,,,,45.4,0,NA,49,0,NA,83,9,,,NA,,,6043390,,
2016-02,KAPUSKASING A,49.412,-82.468,ON,-16,0,NA,2.1,0,-36.1,0,39.9,1,NA,46.8,1,NA,65,13,,,NA,986.2,0,6073976,,
2016-02,KAPUSKASING CDA ON,49.406,-82.444,ON,-16.7,1,NA,1.9,1,-37.9,0,,,NA,33.6,1,NA,58,10,,,NA,971.2,0,6073980,,
2016-02,KEMPTVILLE CS,45,-75.633,ON,-7.7,0,NA,9.6,0,-30.3,0,,,NA,133.3,0,NA,20,10,,,NA,744.3,0,6104027,,
